ingred_name,ingred_cat,ingred_unit
Lamb Shank,"Meat, sausages and fish",g
Lard,Fats and oils,g
Lasagna,Others,whole
Lavender Flower,Herbs and spices ,g
Lecithin,Fats and oils,g
Leek,Vegetables ,g
Lemon,Fruits,g
Lemon Juice,Fruits,ml
Lentil,Vegetables ,g
Lettuce,Vegetables ,g
Lima Bean,Vegetables ,g
Lime,Fruits,g
Lime Juice,Fruits,ml
Liqueur,Others,ml
Lobster,"Meat, sausages and fish",g
Lychee,Fruits,g
Macadamia Nut,"Grain, nuts and baking products",g
Macaroni,"Pasta, rice and pulses  ",g
Macaroni And Cheese,Others,g
Mace,Herbs and spices ,g
Mango,Fruits,g
Maple Syrup,Others,ml
Margarine,Fats and oils,g
Margarita,Others,ml
Marjoram,Herbs and spices ,g
Marsala,Others,ml
Marshmallow,Others,g
Mayonnaise,Others,g
Meat,"Meat, sausages and fish",g
Meatball,"Meat, sausages and fish",g
Milk,"Eggs, milk and milk products",ml
Mint,Herbs and spices ,g
Molasses,Others,g
Monterey Jack,"Eggs, milk and milk products",g
Mozzarella,"Eggs, milk and milk products",g
Muffin,Others,whole
Mushroom,Vegetables ,g
Mussel,"Meat, sausages and fish",g
Mustard,Others,ml
Nectarine,Fruits,g
Noodle,"Pasta, rice and pulses  ",g
Nut,"Grain, nuts and baking products",g
Nutmeg,Herbs and spices ,g
Oat,"Grain, nuts and baking products",g
Oatmeal,"Grain, nuts and baking products",g
Okra,Vegetables ,g
Olive,Fruits,g
Onion,Vegetables ,g
Orange,Fruits,g
Orange Juice,Fruits,ml
Oregano,Herbs and spices ,g
Oyster,"Meat, sausages and fish",g
Pancake,Others,g
Papaya,Fruits,g
Paprika,Herbs and spices ,g
Parmesan,"Eggs, milk and milk products",g
Parsley,Vegetables ,g
Parsnip,Vegetables ,g
Passion Fruit,Fruits,g
Pasta,"Pasta, rice and pulses  ",g
Pastry,Others,whole
Pea,Vegetables ,g
Peach,Fruits,g
Peanut,"Grain, nuts and baking products",g
Peanut Butter,Fats and oils,g
Peanut Oil,Fats and oils,ml
Pear,Fruits,g
Pecan,"Grain, nuts and baking products",g
Pepper,Herbs and spices ,g
Persimmon,Fruits,g
Pickles,Vegetables ,g
Pie,Others,whole
Pimento,Vegetables ,g
Pine Nut,"Grain, nuts and baking products",g
Pineapple,Fruits,g
Pistachio,"Grain, nuts and baking products",g
Pizza,Others,whole
Plantain,Fruits,g
Plum,Fruits,g
Poblano,Vegetables ,g
Pomegranate,Fruits,g
Pomegranate Juice,Fruits,ml
Poppy,Others,g
Pork,"Meat, sausages and fish",g
Pork Chop,"Meat, sausages and fish",g
Pork Rib,"Meat, sausages and fish",g
Pork Tenderloin,"Meat, sausages and fish",g
Port,Others,ml
Potato,"Pasta, rice and pulses  ",g
Pretzel,Others,whole
Prosciutto,"Meat, sausages and fish",g
Prune,Fruits,g
Pudding,Others,g
Puff,Others,whole
Pumpkin,Vegetables ,g
Quinoa,"Grain, nuts and baking products",g
Rabbit,"Meat, sausages and fish",g
Rack Of Lamb,"Meat, sausages and fish",g
Radicchio,Vegetables ,g
Radish,Vegetables ,g
Raisin,Fruits,g
Raspberry,Fruits,g
Red Pepper,Vegetables ,g
Red Wine,Others,ml
Rhubarb,Vegetables ,g
Rice,"Pasta, rice and pulses  ",g
Rice Vinegar,Herbs and spices ,ml
Ricotta,"Eggs, milk and milk products",whole
Rosemary,Herbs and spices ,g
Rum,Others,ml
Rutabaga,Vegetables ,g
Saffron,Herbs and spices ,g
Sage,Herbs and spices ,g
Sake,Others,ml
Salad Dressing,Fats and oils,ml
Salami,"Meat, sausages and fish",g
Salmon,"Meat, sausages and fish",g
Salsa,Others,g
Salt,Others,g
Sauce,Others,ml
Sauerkraut,Vegetables ,g
Sausage,"Meat, sausages and fish",g
Scallop,"Meat, sausages and fish",g
Seed,"Grain, nuts and baking products",g
Semolina,"Grain, nuts and baking products",g
Sesame,"Grain, nuts and baking products",g
Sesame Oil,Fats and oils,ml
Shallot,Vegetables ,g
Sherry,Others,ml
Shrimp,"Meat, sausages and fish",g
Skewer,Others,whole
Snapper,"Meat, sausages and fish",g
Soda,Others,ml
Sodium,Others,g
Sour Cream,Others,g
Sourdough,"Grain, nuts and baking products",g
Soy Sauce,Others,ml
Spaghetti,"Pasta, rice and pulses  ",g
Spice,Herbs and spices ,g
Spinach,Vegetables ,g
Squash,Fruits,g
Squid,"Meat, sausages and fish",g
Steak,"Meat, sausages and fish",g
Steak Sauce,Others,ml
Stock,Others,ml
Strawberry,Fruits,whole
Sugar,Others,g
Sugar Snap Pea,Vegetables ,g
Swiss Cheese,"Eggs, milk and milk products",g
Swordfish,"Meat, sausages and fish",g
Syrup,Others,ml
Taco,Others,g
Tahini,"Grain, nuts and baking products",g
Tamarind,Fruits,g
Tangerine,Fruits,g
Tapioca,"Pasta, rice and pulses  ",g
Tarragon,Herbs and spices ,g
Tart,Others,whole
Tea,Others,ml
Tequila,Others,ml
Thyme,Herbs and spices ,g
Tilapia,"Meat, sausages and fish",g
Tofu,Vegetables ,g
Tomatillo,Fruits,g
Tomato,Fruits,g
Tomato Sauce,Others,ml
Tortillas,Others,g
Triple Sec,Others,ml
Tropical Fruit,Fruits,g
Trout,"Meat, sausages and fish",g
Tuna,"Meat, sausages and fish",g
Turkey,"Meat, sausages and fish",g
Turnip,Vegetables ,g
Vanilla Essence (Liquid),Herbs and spices ,ml
Vanilla Essence (Solid),Herbs and spices ,g
Veal,"Meat, sausages and fish",g
Vegetable,Vegetables ,g
Vegetable Oil,Fats and oils,ml
Venison,"Meat, sausages and fish",g
Vermouth,Others,ml
Vinaigrette,Fats and oils,g
Vinegar,Herbs and spices ,ml
Vodka,Others,ml
Walnut,"Grain, nuts and baking products",g
Wasabi,Vegetables ,g
Water,Others,ml
Watercress,Vegetables ,g
Watermelon,Fruits,g
Wheat,"Grain, nuts and baking products",g
Wheat Germ,Others,g
Whipping Cream,"Eggs, milk and milk products",ml
Whiskey,Others,ml
White Sugar,Others,g
White Wine,Others,ml
Whole Wheat,"Grain, nuts and baking products",g
Wild Rice,"Pasta, rice and pulses ",g
Wine,Others,ml
Worcestershire Sauce,Others,ml
Yeast,"Grain, nuts and baking products",g
Yellow Squash,Fruits,g
Yogurt,"Eggs, milk and milk products",g
Zest,Fruits,g
Zucchini,Vegetables ,g
